,Calcium,Calories,Cholesterol,Dietary Fiber,Folate,Iron,Magnesium,Niacin,Popularity,Potassium,Protein,Rating,Reference,Region,Saturated Fat,Sodium,Sugars,Thiamin,Title,Total Carbohydrates,Total Fat,Vitamin A,Vitamin B6,Vitamin C
Chicken Biryani,73mg,832,134mg,5.1g,42mcg,4mg,82mg,27mg,222,1021mg,47.8g,4.31034469604492,16102/chicken-biryani/,indian,8.0g,1522mg,5g,0mg,Chicken Biryani,78.9g,35.1g,562IU,1mg,29mg
Cholay (Curried Chickpeas),72mg,248,0mg,8.3g,116mcg,3mg,57mg,2mg,72,493mg,8.5g,4.02631568908691,67767/cholay-curried-chickpeas/,indian,1.0g,446mg,3g,0mg,Cholay (Curried Chickpeas),40.2g,6.7g,809IU,1mg,17mg
Indian Tomato Chicken,50mg,134,57mg,1.6g,18mcg,2mg,32mg,8mg,279,363mg,14.7g,4.53024911880493,17449/indian-tomato-chicken/,indian,1.0g,547mg,3g,0mg,Indian Tomato Chicken,6.9g,5.4g,139IU,0mg,9mg
Indian Chicken Curry I,53mg,305,81mg,2.8g,24mcg,4mg,64mg,16mg,265,606mg,33g,4.44711542129517,20036/indian-chicken-curry-i/,indian,10.0g,443mg,5g,0mg,Indian Chicken Curry I,9.8g,15.3g,277IU,0mg,8mg
Prawn Malai Curry,142mg,343,175mg,4g,23mcg,5mg,40mg,5mg,15,314mg,25.1g,4.40000009536743,213244/prawn-malai-curry/,indian,13.0g,71mg,3g,0mg,Prawn Malai Curry,13.8g,21.4g,486IU,0mg,8mg
Reshmi Kebab (Silken Kebabs),57mg,293,124mg,1.7g,18mcg,2mg,42mg,21mg,13,401mg,33g,4.40000009536743,34974/reshmi-kebab-silken-kebabs/,indian,8.0g,115mg,1g,0mg,Reshmi Kebab (Silken Kebabs),5.3g,15.6g,1066IU,1mg,24mg
Bhuna Gosht,80mg,453,90mg,4.3g,60mcg,3mg,53mg,12mg,21,760mg,25.6g,4.22222232818604,212488/bhuna-gosht/,indian,10.0g,90mg,9g,0mg,Bhuna Gosht,20.5g,30.4g,1080IU,0mg,74mg
Chicken Tikka Masala,206mg,404,143mg,2.5g,24mcg,3mg,57mg,13mg,3k,660mg,24.6g,4.3879280090332,45736/chicken-tikka-masala/,indian,17.0g,1592mg,7g,0mg,Chicken Tikka Masala,13.3g,28.9g,2432IU,1mg,11mg
Curry Stand Chicken Tikka Masala Sauce,68mg,328,106mg,2.3g,19mcg,2mg,37mg,9mg,3k,462mg,17.9g,4.91445779800415,228293/curry-stand-chicken-tikka-masala-sauce/,indian,13.0g,980mg,7g,0mg,Curry Stand Chicken Tikka Masala Sauce,13.2g,23.4g,1496IU,0mg,9mg
Vegetarian Korma,120mg,462,82mg,8.4g,84mcg,3mg,83mg,5mg,2k,1088mg,8.6g,4.57007455825806,60598/vegetarian-korma/,indian,15.0g,1434mg,9g,0mg,Vegetarian Korma,41.3g,31.1g,13460IU,1mg,73mg
Indian Chicken Curry II,172mg,313,38mg,3.8g,27mcg,4mg,66mg,11mg,1k,576mg,19.1g,4.27110767364502,46822/indian-chicken-curry-ii/,indian,10.0g,268mg,7g,0mg,Indian Chicken Curry II,14g,21.7g,555IU,1mg,15mg
Red Lentil Curry,44mg,192,0mg,11.3g,227mcg,6mg,61mg,4mg,1k,727mg,12.1g,4.49018049240112,16641/red-lentil-curry/,indian,0.0g,572mg,7g,0mg,Red Lentil Curry,32.5g,2.6g,377IU,0mg,9mg
Chicken Makhani (Indian Butter Chicken),135mg,408,107mg,2.2g,24mcg,3mg,49mg,9mg,1k,625mg,23.4g,4.50118970870972,45957/chicken-makhani-indian-butter-chicken/,indian,11.0g,523mg,5g,0mg,Chicken Makhani (Indian Butter Chicken),15.6g,27.8g,1194IU,0mg,12mg
Easy Indian Butter Chicken,134mg,880,303mg,2.6g,26mcg,2mg,50mg,12mg,1k,567mg,26.4g,4.70970773696899,141169/easy-indian-butter-chicken/,indian,48.0g,1461mg,5g,0mg,Easy Indian Butter Chicken,12.8g,82.3g,3092IU,0mg,11mg
Spicy Vegan Potato Curry,107mg,407,0mg,10.1g,94mcg,7mg,98mg,4mg,1k,1090mg,10.1g,4.49641036987305,165190/spicy-vegan-potato-curry/,indian,13.0g,1176mg,6g,0mg,Spicy Vegan Potato Curry,50.6g,20.1g,1069IU,1mg,44mg
Indian Chicken Curry (Murgh Kari),143mg,427,95mg,2.9g,29mcg,3mg,64mg,23mg,1k,699mg,38.1g,4.74545431137085,212721/indian-chicken-curry-murgh-kari/,indian,5.0g,1370mg,5g,0mg,Indian Chicken Curry (Murgh Kari),14.7g,24.3g,748IU,1mg,12mg
Chickpea Curry,51mg,135,0mg,4.6g,56mcg,2mg,28mg,1mg,641,217mg,4.1g,4.2378716468811,34689/chickpea-curry/,indian,1.0g,289mg,1g,0mg,Chickpea Curry,20.5g,4.5g,506IU,0mg,7mg
Slow Cooker Butter Chicken,134mg,480,103mg,4g,33mcg,6mg,79mg,12mg,1k,824mg,30.6g,4.48566627502441,174543/slow-cooker-butter-chicken/,indian,19.0g,442mg,8g,0mg,Slow Cooker Butter Chicken,17.2g,33.3g,647IU,0mg,11mg
Baingan Bharta (Eggplant Curry),93mg,146,2mg,6.2g,50mcg,1mg,38mg,2mg,410,559mg,4g,4.32051277160645,47564/baingan-bharta-eggplant-curry/,indian,1.0g,739mg,8g,0mg,Baingan Bharta (Eggplant Curry),15.2g,8g,596IU,0mg,12mg
