,Title,Reference,Popularity,Rating,Region,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Potassium,Total Carbohydrates,Dietary Fiber,Protein,Sugars,Vitamin A,Vitamin C,Calcium,Iron,Thiamin,Niacin,Vitamin B6,Magnesium,Folate
Original Homemade Italian Beef,Original Homemade Italian Beef,91597/original-homemade-italian-beef/,904,4.64715719223022,italian,557,28.8g,11.0g,103mg,4233mg,310mg,38.4g,2.2g,31.9g,7g,315IU,1mg,130mg,6mg,0mg,10mg,0mg,31mg,59mcg
Shrimp Scampi with Pasta,Shrimp Scampi with Pasta,229960/shrimp-scampi-with-pasta/,2k,4.5580358505249,italian,511,19.4g,7.0g,135mg,260mg,268mg,57.5g,3.5g,21.9g,1g,849IU,10mg,52mg,5mg,0mg,8mg,0mg,62mg,144mcg
Hearty Meatball Sandwich,Hearty Meatball Sandwich,59030/hearty-meatball-sandwich/,197,4.50761413574219,italian,491,21.4g,8.0g,75mg,1068mg,441mg,43.1g,3g,29.3g,5g,145IU,1mg,196mg,5mg,0mg,12mg,0mg,39mg,30mcg
Pork Chops Italiano,Pork Chops Italiano,219005/pork-chops-italiano/,948,4.55688619613647,italian,290,17.6g,5.0g,63mg,339mg,691mg,7.8g,2g,25.3g,4g,217IU,32mg,57mg,2mg,1mg,11mg,1mg,40mg,24mcg
Kay's Spaghetti and Lasagna Sauce,Kay's Spaghetti and Lasagna Sauce,23602/kays-spaghetti-and-lasagna-sauce/,985,4.36906385421753,italian,206,8.4g,3.0g,34mg,379mg,728mg,22g,3.8g,13.2g,9g,1034IU,41mg,93mg,4mg,0mg,6mg,0mg,46mg,31mcg
Tagliatelle with Coriander Pesto,Tagliatelle with Coriander Pesto,217292/tagliatelle-with-coriander-pesto/,25,4,italian,663,39.4g,7.0g,11mg,190mg,319mg,64.8g,3.9g,16.5g,4g,1001IU,5mg,92mg,4mg,0mg,7mg,0mg,76mg,189mcg
Tilapia Scaloppine,Tilapia Scaloppine,84737/tilapia-scaloppine/,284,4.5,italian,262,14.2g,5.0g,57mg,222mg,564mg,5g,1.6g,24.2g,0g,294IU,24mg,63mg,1mg,0mg,5mg,0mg,42mg,10mcg
Prune and Olive Chicken,Prune and Olive Chicken,8900/prune-and-olive-chicken/,260,4.65671634674072,italian,402,22.4g,6.0g,97mg,308mg,386mg,16.5g,1.2g,31.2g,13g,405IU,2mg,49mg,3mg,0mg,10mg,1mg,37mg,11mcg
World's Best Lasagna,World's Best Lasagna,23600/worlds-best-lasagna/,28k,4.79027080535889,italian,448,21.3g,10.0g,82mg,1788mg,876mg,36.5g,4g,29.7g,9g,1454IU,17mg,442mg,4mg,0mg,10mg,0mg,67mg,80mcg
Chicken Marsala,Chicken Marsala,8887/chicken-marsala/,7k,4.53676462173462,italian,448,26.6g,10.0g,99mg,543mg,411mg,13.3g,0.5g,28.8g,3g,393IU,2mg,25mg,2mg,0mg,20mg,1mg,40mg,23mcg
"Bow Ties with Sausage, Tomatoes and Cream","Bow Ties with Sausage, Tomatoes and Cream",26257/bow-ties-with-sausage-tomatoes-and-cream/,5k,4.68556547164917,italian,656,42.1g,20.0g,111mg,1088mg,350mg,50.9g,3.4g,20.1g,7g,1693IU,17mg,91mg,3mg,0mg,7mg,0mg,43mg,121mcg
Eggplant Parmesan II,Eggplant Parmesan II,25321/eggplant-parmesan-ii/,4k,4.45231914520264,italian,487,16g,7.0g,73mg,1663mg,815mg,62.1g,8.8g,24.2g,20g,1089IU,5mg,512mg,4mg,0mg,10mg,0mg,63mg,50mcg
Italian Spaghetti Sauce with Meatballs,Italian Spaghetti Sauce with Meatballs,21353/italian-spaghetti-sauce-with-meatballs/,4k,4.52364158630371,italian,349,21.2g,6.0g,77mg,1492mg,1023mg,23.7g,4.5g,18.9g,12g,825IU,33mg,140mg,6mg,0mg,9mg,1mg,59mg,46mcg
Garlic Cheddar Chicken,Garlic Cheddar Chicken,70522/garlic-cheddar-chicken/,4k,4.60950136184692,italian,400,24.9g,15.0g,129mg,488mg,265mg,8.4g,0.5g,34.5g,1g,657IU,1mg,280mg,2mg,0mg,18mg,1mg,37mg,20mcg
Gourmet Mushroom Risotto,Gourmet Mushroom Risotto,85389/gourmet-mushroom-risotto/,4k,4.79166650772095,italian,431,16.6g,7.0g,29mg,1131mg,692mg,56.6g,2.7g,11.3g,4g,520IU,4mg,70mg,2mg,0mg,8mg,0mg,24mg,37mcg
Chicken Parmesan,Chicken Parmesan,223042/chicken-parmesan/,7k,4.81838321685791,italian,471,24.9g,9.0g,187mg,840mg,389mg,24.8g,0.6g,42.1g,2g,628IU,3mg,380mg,2mg,0mg,19mg,1mg,44mg,31mcg
American Lasagna,American Lasagna,11729/american-lasagna/,2k,4.68004608154297,italian,664,29.5g,15.0g,168mg,1900mg,872mg,48.3g,4.2g,50.9g,14g,1758IU,23mg,759mg,6mg,0mg,15mg,0mg,78mg,108mcg
Chicken Milano,Chicken Milano,19304/chicken-milano/,3k,4.62059497833252,italian,641,34.8g,17.0g,156mg,501mg,681mg,47g,2.8g,36.3g,5g,1116IU,5mg,76mg,3mg,0mg,22mg,1mg,77mg,124mcg
Slow Cooker Italian Beef for Sandwiches,Slow Cooker Italian Beef for Sandwiches,16427/slow-cooker-italian-beef-for-sandwiches/,2k,4.62948036193848,italian,318,15.8g,6.0g,100mg,819mg,530mg,1.6g,0.2g,39.4g,1g,30IU,0mg,17mg,3mg,0mg,12mg,0mg,35mg,15mcg
Balsamic Roasted Pork Loin,Balsamic Roasted Pork Loin,132815/balsamic-roasted-pork-loin/,3k,4.58597087860107,italian,299,23.4g,5.0g,55mg,732mg,301mg,3.1g,0.1g,18.3g,2g,6IU,1mg,32mg,1mg,1mg,8mg,0mg,19mg,4mcg
