,Calcium,Calories,Cholesterol,Dietary Fiber,Folate,Iron,Magnesium,Niacin,Popularity,Potassium,Protein,Rating,Reference,Region,Saturated Fat,Sodium,Sugars,Thiamin,Title,Total Carbohydrates,Total Fat,Vitamin A,Vitamin B6,Vitamin C
Kolachky,44mg,241,34mg,0.9g,30mcg,1mg,18mg,1mg,116,71mg,3.9g,4.57142877578735,26159/kolachky/,eastern-european,8.0g,37mg,4g,0mg,Kolachky,17.8g,17.9g,369IU,0mg,0mg
Serbian Cevapcici,55mg,690,223mg,0.6g,24mcg,5mg,61mg,23mg,86,879mg,62.8g,4.55882358551025,80398/serbian-cevapcici/,eastern-european,18.0g,1097mg,0g,1mg,Serbian Cevapcici,2.1g,46.1g,350IU,1mg,3mg
Slovak Stuffed Cabbage,101mg,556,101mg,6.9g,91mcg,5mg,60mg,12mg,347,876mg,25.9g,4.50205755233765,14597/slovak-stuffed-cabbage/,eastern-european,14.0g,2096mg,17g,1mg,Slovak Stuffed Cabbage,31.6g,36.5g,985IU,1mg,110mg
Real Hungarian Goulash (No Tomato Paste Here),38mg,348,111mg,2.6g,24mcg,5mg,37mg,7mg,128,451mg,32.1g,4.54385948181152,235135/real-hungarian-goulash-no-tomato-paste-here/,eastern-european,8.0g,76mg,4g,0mg,Real Hungarian Goulash (No Tomato Paste Here),8.9g,20.1g,1806IU,1mg,8mg
Rice Bread (Pirog),64mg,288,27mg,1.3g,93mcg,2mg,17mg,4mg,6,169mg,6.4g,4.66666650772095,6994/rice-bread-pirog/,eastern-european,2.0g,94mg,14g,0mg,Rice Bread (Pirog),47.5g,8g,365IU,0mg,0mg
Simple Golabki,133mg,225,50mg,6.6g,104mcg,4mg,53mg,7mg,43,791mg,18.2g,4.29629611968994,221395/simple-golabki/,eastern-european,4.0g,1432mg,10g,0mg,Simple Golabki,18.7g,9.6g,347IU,1mg,86mg
Bosnian Style Cornbread (Razljevak),128mg,245,64mg,0.8g,50mcg,1mg,17mg,3mg,9,150mg,6.6g,4.22222232818604,206164/bosnian-style-cornbread-razljevak/,eastern-european,3.0g,557mg,3g,0mg,Bosnian Style Cornbread (Razljevak),22g,14.6g,112IU,0mg,1mg
Beef Stroganoff III,33mg,304,83mg,0.9g,21mcg,2mg,19mg,5mg,4k,213mg,16.6g,4.5849552154541,25202/beef-stroganoff-iii/,eastern-european,12.0g,619mg,1g,0mg,Beef Stroganoff III,5.7g,23g,488IU,0mg,2mg
Hungarian Mushroom Soup,103mg,201,32mg,2.4g,41mcg,2mg,27mg,6mg,2k,542mg,7.5g,4.72983026504517,17897/hungarian-mushroom-soup/,eastern-european,8.0g,829mg,6g,0mg,Hungarian Mushroom Soup,14.8g,13.5g,1271IU,0mg,11mg
Stuffed Cabbage Rolls,33mg,223,66mg,0.9g,37mcg,2mg,26mg,6mg,2k,338mg,12.8g,4.3451189994812,26661/stuffed-cabbage-rolls/,eastern-european,5.0g,657mg,3g,0mg,Stuffed Cabbage Rolls,13.3g,13.1g,1783IU,0mg,25mg
Russian Tea Cakes I,6mg,102,14mg,0.4g,16mcg,0mg,7mg,1mg,2k,24mg,1.3g,4.69153070449829,10192/russian-tea-cakes-i/,eastern-european,3.0g,37mg,3g,0mg,Russian Tea Cakes I,8.2g,7.3g,158IU,0mg,0mg
Russian Mushroom and Potato Soup,50mg,167,23mg,2.7g,36mcg,1mg,30mg,3mg,1k,541mg,4.5g,4.74760675430298,80773/russian-mushroom-and-potato-soup/,eastern-european,5.0g,928mg,3g,0mg,Russian Mushroom and Potato Soup,21.2g,7.7g,2490IU,0mg,19mg
Kielbasa and Cabbage,108mg,377,63mg,6g,95mcg,2mg,44mg,5mg,1k,632mg,17.2g,4.52420473098755,14714/kielbasa-and-cabbage/,eastern-european,9.0g,952mg,12g,1mg,Kielbasa and Cabbage,20.2g,26g,253IU,0mg,79mg
"Serbian Ground Beef, Veggie, and Potato Bake",70mg,367,72mg,5g,52mcg,3mg,58mg,11mg,669,988mg,22.7g,4.41717767715454,70589/serbian-ground-beef-veggie-and-potato-bake/,eastern-european,6.0g,567mg,4g,0mg,"Serbian Ground Beef, Veggie, and Potato Bake",27.2g,18.1g,3408IU,1mg,50mg
Apple Banana Cupcakes,9mg,151,16mg,0.8g,23mcg,1mg,6mg,1mg,469,67mg,1.8g,4.6689977645874,25552/apple-banana-cupcakes/,eastern-european,2.0g,158mg,13g,0mg,Apple Banana Cupcakes,22.3g,6.3g,33IU,0mg,1mg
Lentil Soup,114mg,255,9mg,13.7g,206mcg,4mg,67mg,4mg,622,747mg,13.7g,4.59154939651489,16016/lentil-soup/,eastern-european,1.0g,1099mg,7g,0mg,Lentil Soup,33.3g,6g,5621IU,0mg,21mg
Sweet Russian Cabbage Soup,211mg,688,128mg,10.4g,159mcg,8mg,89mg,16mg,528,1427mg,36.9g,4.62682914733887,94031/sweet-russian-cabbage-soup/,eastern-european,14.0g,2396mg,42g,0mg,Sweet Russian Cabbage Soup,55.5g,35.9g,6420IU,1mg,124mg
Ukrainian Red Borscht Soup,78mg,257,31mg,4.8g,67mcg,2mg,43mg,5mg,589,837mg,10.1g,4.46437358856201,84450/ukrainian-red-borscht-soup/,eastern-european,5.0g,626mg,8g,0mg,Ukrainian Red Borscht Soup,24.4g,13.8g,3665IU,0mg,39mg
