,Calcium,Calories,Cholesterol,Dietary Fiber,Folate,Iron,Magnesium,Niacin,Popularity,Potassium,Protein,Rating,Reference,Region,Saturated Fat,Sodium,Sugars,Thiamin,Title,Total Carbohydrates,Total Fat,Vitamin A,Vitamin B6,Vitamin C
Lebanese Chicken Shawarma,152mg,365,133mg,0.7g,16mcg,2mg,60mg,31mg,20,618mg,51g,4.7142858505249,257328/lebanese-chicken-shawarma/,lebanese,3.0g,480mg,5g,0mg,Lebanese Chicken Shawarma,7.9g,13.4g,214IU,1mg,9mg
Lebanese Chicken and Potatoes,51mg,592,65mg,6.5g,55mcg,3mg,86mg,11mg,281,1436mg,26.7g,4.14338254928589,89833/lebanese-chicken-and-potatoes/,lebanese,6.0g,81mg,3g,0mg,Lebanese Chicken and Potatoes,53.9g,30.5g,86IU,1mg,75mg
Fattoush,87mg,482,0mg,3.8g,119mcg,2mg,41mg,4mg,20,516mg,6.2g,4.3600001335144,86283/fattoush/,lebanese,5.0g,394mg,5g,0mg,Fattoush,35.4g,36.5g,2781IU,0mg,55mg
Middle Eastern Kibbeh,22mg,159,38mg,1.7g,14mcg,1mg,24mg,3mg,63,193mg,10.9g,4.59090900421143,143265/middle-eastern-kibbeh/,lebanese,3.0g,228mg,1g,0mg,Middle Eastern Kibbeh,7.4g,9.6g,31IU,0mg,2mg
Lebanese Donair,236mg,990,128mg,6.8g,145mcg,10mg,118mg,25mg,40,1404mg,57.5g,4.34999990463257,88233/lebanese-donair/,lebanese,14.0g,471mg,6g,1mg,Lebanese Donair,47.6g,64.7g,1837IU,1mg,45mg
Mellas Family Lamb Stuffed Zucchini (Koosa),129mg,511,76mg,5g,86mcg,5mg,79mg,12mg,14,1185mg,26.2g,4.25,207936/mellas-family-lamb-stuffed-zucchini-koosa/,lebanese,8.0g,1593mg,9g,0mg,Mellas Family Lamb Stuffed Zucchini (Koosa),44.8g,26.6g,762IU,1mg,49mg
Mediterranean Meat Pies (Sfeeha),14mg,412,34mg,1.2g,52mcg,3mg,29mg,6mg,41,174mg,12.7g,4.58620691299438,216879/mediterranean-meat-pies-sfeeha/,lebanese,8.0g,162mg,1g,0mg,Mediterranean Meat Pies (Sfeeha),26.4g,28.7g,15IU,0mg,3mg
Lamb Shawarma,60mg,376,115mg,0.4g,31mcg,3mg,34mg,8mg,83,380mg,29g,4.625,214029/lamb-shawarma/,lebanese,11.0g,966mg,2g,0mg,Lamb Shawarma,3g,26.8g,106IU,0mg,3mg
Kafta (BBQ),21mg,227,74mg,0.5g,18mcg,2mg,23mg,8mg,173,327mg,22g,4.41780805587769,64519/kafta/,lebanese,5.0g,459mg,1g,0mg,Kafta (BBQ),2.3g,13.9g,453IU,0mg,8mg
Tabbouleh III,38mg,244,0mg,4.6g,37mcg,1mg,46mg,2mg,226,338mg,3.3g,4.42009115219116,14438/tabbouleh-iii/,lebanese,3.0g,593mg,2g,0mg,Tabbouleh III,19g,18.5g,1127IU,0mg,26mg
Lentil and Green Collard Soup,170mg,307,0mg,10.5g,126mcg,4mg,22mg,1mg,175,660mg,15.2g,4.44767427444458,137450/lentil-and-green-collard-soup/,lebanese,1.0g,1779mg,3g,0mg,Lentil and Green Collard Soup,38.6g,11.8g,4694IU,0mg,38mg
Thick-Style Lebanese Garlic Sauce,4mg,123,0mg,0.1g,1mcg,2mg,3mg,0mg,160,13mg,0.1g,4.12380933761597,150654/thick-style-lebanese-garlic-sauce/,lebanese,2.0g,165mg,0g,0mg,Thick-Style Lebanese Garlic Sauce,0.9g,13.6g,1IU,0mg,2mg
Lebanese Lemon Salad Dressing,5mg,176,0mg,0.2g,3mcg,0mg,2mg,0mg,145,33mg,0.2g,4.47474765777588,164512/lebanese-lemon-salad-dressing/,lebanese,3.0g,321mg,1g,0mg,Lebanese Lemon Salad Dressing,2.4g,18.7g,5IU,0mg,10mg
Cilantro and Garlic Potatoes,34mg,250,0mg,4.4g,37mcg,2mg,46mg,3mg,66,847mg,4.1g,4.15942049026489,83246/cilantro-and-garlic-potatoes/,lebanese,2.0g,17mg,2g,0mg,Cilantro and Garlic Potatoes,33.4g,11.8g,782IU,1mg,41mg
Chicken Shawarma,168mg,402,58mg,4g,108mcg,4mg,60mg,13mg,69,554mg,23.3g,3.85294127464294,52407/chicken-shawarma/,lebanese,3.0g,420mg,5g,1mg,Chicken Shawarma,44g,15.2g,755IU,0mg,14mg
Best Hummus,11mg,27,0mg,0.6g,9mcg,0mg,5mg,0mg,104,29mg,0.7g,4.46296310424805,231081/best-hummus/,lebanese,0.0g,28mg,0g,0mg,Best Hummus,2.5g,1.7g,94IU,0mg,2mg
Traditional Hummus,152mg,560,0mg,5.9g,76mcg,4mg,49mg,4mg,72,248mg,8.6g,4.47727251052856,223276/traditional-hummus/,lebanese,7.0g,244mg,0g,0mg,Traditional Hummus,22.5g,50.5g,37IU,0mg,3mg
Lebanese Garlic Sauce,13mg,191,0mg,0.2g,1mcg,0mg,2mg,0mg,45,38mg,0.5g,3.92105269432068,64229/lebanese-garlic-sauce/,lebanese,3.0g,74mg,0g,0mg,Lebanese Garlic Sauce,3g,20.3g,2IU,0mg,6mg
"Chard Lentil Soup, Lebanese-Style",59mg,361,0mg,11.8g,151mcg,4mg,91mg,5mg,40,1124mg,10.5g,4.59459447860718,234775/chard-lentil-soup-lebanese-style/,lebanese,2.0g,931mg,3g,0mg,"Chard Lentil Soup, Lebanese-Style",50.7g,14g,1120IU,1mg,58mg
